image_id,xmin,ymin,xmax,ymax,class_label
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",174,494,416,545,0
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",0,0,640,376,2
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",217,382,396,527,1
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",80,513,484,638,0
"[[[250 252 252]
  [250 252 252]
  [250 252 252]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[250 252 252]
  [250 252 252]
  [250 252 252]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[250 252 252]
  [250 252 252]
  [250 252 252]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[246 248 248]
  [246 248 248]
  [245 247 247]
  ...
  [250 255 254]
  [249 255 254]
  [247 255 254]]

 [[244 246 246]
  [244 246 246]
  [245 247 247]
  ...
  [249 255 254]
  [245 255 254]
  [243 255 254]]

 [[243 245 245]
  [244 246 246]
  [244 246 246]
  ...
  [249 255 254]
  [243 255 254]
  [242 255 254]]]",51,60,519,391,2
"[[[250 252 252]
  [250 252 252]
  [250 252 252]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[250 252 252]
  [250 252 252]
  [250 252 252]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[250 252 252]
  [250 252 252]
  [250 252 252]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[246 248 248]
  [246 248 248]
  [245 247 247]
  ...
  [250 255 254]
  [249 255 254]
  [247 255 254]]

 [[244 246 246]
  [244 246 246]
  [245 247 247]
  ...
  [249 255 254]
  [245 255 254]
  [243 255 254]]

 [[243 245 245]
  [244 246 246]
  [244 246 246]
  ...
  [249 255 254]
  [243 255 254]
  [242 255 254]]]",203,358,373,634,1
"[[[215 220 219]
  [214 219 218]
  [214 219 218]
  ...
  [231 236 235]
  [230 235 234]
  [217 222 221]]

 [[215 220 219]
  [214 219 218]
  [214 219 218]
  ...
  [231 236 235]
  [230 235 234]
  [217 222 221]]

 [[215 220 219]
  [214 219 218]
  [214 219 218]
  ...
  [231 236 235]
  [229 234 233]
  [216 221 220]]

 ...

 [[216 221 220]
  [215 220 219]
  [218 223 222]
  ...
  [225 232 235]
  [223 230 233]
  [209 216 219]]

 [[217 222 221]
  [217 222 221]
  [220 225 224]
  ...
  [225 232 235]
  [223 230 233]
  [209 216 219]]

 [[217 222 221]
  [218 223 222]
  [222 227 226]
  ...
  [225 232 235]
  [223 230 233]
  [209 216 219]]]",183,581,350,619,0
"[[[215 220 219]
  [214 219 218]
  [214 219 218]
  ...
  [231 236 235]
  [230 235 234]
  [217 222 221]]

 [[215 220 219]
  [214 219 218]
  [214 219 218]
  ...
  [231 236 235]
  [230 235 234]
  [217 222 221]]

 [[215 220 219]
  [214 219 218]
  [214 219 218]
  ...
  [231 236 235]
  [229 234 233]
  [216 221 220]]

 ...

 [[216 221 220]
  [215 220 219]
  [218 223 222]
  ...
  [225 232 235]
  [223 230 233]
  [209 216 219]]

 [[217 222 221]
  [217 222 221]
  [220 225 224]
  ...
  [225 232 235]
  [223 230 233]
  [209 216 219]]

 [[217 222 221]
  [218 223 222]
  [222 227 226]
  ...
  [225 232 235]
  [223 230 233]
  [209 216 219]]]",240,511,304,585,1
"[[[215 220 219]
  [214 219 218]
  [214 219 218]
  ...
  [231 236 235]
  [230 235 234]
  [217 222 221]]

 [[215 220 219]
  [214 219 218]
  [214 219 218]
  ...
  [231 236 235]
  [230 235 234]
  [217 222 221]]

 [[215 220 219]
  [214 219 218]
  [214 219 218]
  ...
  [231 236 235]
  [229 234 233]
  [216 221 220]]

 ...

 [[216 221 220]
  [215 220 219]
  [218 223 222]
  ...
  [225 232 235]
  [223 230 233]
  [209 216 219]]

 [[217 222 221]
  [217 222 221]
  [220 225 224]
  ...
  [225 232 235]
  [223 230 233]
  [209 216 219]]

 [[217 222 221]
  [218 223 222]
  [222 227 226]
  ...
  [225 232 235]
  [223 230 233]
  [209 216 219]]]",0,12,640,607,2
"[[[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 ...

 [[252 252 252]
  [251 251 251]
  [250 250 250]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[250 250 250]
  [249 249 249]
  [249 249 249]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[247 247 247]
  [247 247 247]
  [247 247 247]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]]",2,1,638,423,2
"[[[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 ...

 [[252 252 252]
  [251 251 251]
  [250 250 250]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[250 250 250]
  [249 249 249]
  [249 249 249]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[247 247 247]
  [247 247 247]
  [247 247 247]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]]",250,433,399,617,1
"[[[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[253 253 253]
  [253 253 253]
  [253 253 253]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 ...

 [[252 252 252]
  [251 251 251]
  [250 250 250]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[250 250 250]
  [249 249 249]
  [249 249 249]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[247 247 247]
  [247 247 247]
  [247 247 247]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]]",239,598,402,630,0
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [231 239 238]
  [227 238 236]
  [225 236 234]]

 [[255 255 255]
  [255 255 255]
  [254 254 254]
  ...
  [231 239 238]
  [227 238 236]
  [225 236 234]]

 [[255 255 255]
  [255 255 255]
  [254 254 254]
  ...
  [232 240 239]
  [227 238 236]
  [225 236 234]]]",82,132,510,391,2
"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [231 239 238]
  [227 238 236]
  [225 236 234]]

 [[255 255 255]
  [255 255 255]
  [254 254 254]
  ...
  [231 239 238]
  [227 238 236]
  [225 236 234]]

 [[255 255 255]
  [255 255 255]
  [254 254 254]
  ...
  [232 240 239]
  [227 238 236]
  [225 236 234]]]",230,361,354,527,1
"[[[255 255 255]
  [245 245 245]
  [249 249 249]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[250 250 250]
  [255 255 255]
  [251 251 251]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[244 244 244]
  [253 253 253]
  [246 246 246]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]]",68,7,534,488,2
"[[[255 255 255]
  [245 245 245]
  [249 249 249]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[250 250 250]
  [255 255 255]
  [251 251 251]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[244 244 244]
  [253 253 253]
  [246 246 246]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]]",293,462,323,589,1
"[[[255 255 255]
  [245 245 245]
  [249 249 249]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[250 250 250]
  [255 255 255]
  [251 251 251]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[244 244 244]
  [253 253 253]
  [246 246 246]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]]",279,587,335,619,0
"[[[251 251 251]
  [250 250 250]
  [250 250 250]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 [[249 249 249]
  [249 249 249]
  [249 249 249]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 [[248 248 248]
  [248 248 248]
  [248 248 248]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 ...

 [[245 245 245]
  [245 245 245]
  [246 246 246]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 [[246 246 246]
  [245 245 245]
  [245 245 245]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 [[247 247 247]
  [246 246 246]
  [245 245 245]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]]",86,90,559,393,2
"[[[251 251 251]
  [250 250 250]
  [250 250 250]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 [[249 249 249]
  [249 249 249]
  [249 249 249]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 [[248 248 248]
  [248 248 248]
  [248 248 248]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 ...

 [[245 245 245]
  [245 245 245]
  [246 246 246]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 [[246 246 246]
  [245 245 245]
  [245 245 245]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 [[247 247 247]
  [246 246 246]
  [245 245 245]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]]",289,406,370,492,1
"[[[251 251 251]
  [250 250 250]
  [250 250 250]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 [[249 249 249]
  [249 249 249]
  [249 249 249]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 [[248 248 248]
  [248 248 248]
  [248 248 248]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 ...

 [[245 245 245]
  [245 245 245]
  [246 246 246]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 [[246 246 246]
  [245 245 245]
  [245 245 245]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]

 [[247 247 247]
  [246 246 246]
  [245 245 245]
  ...
  [248 248 248]
  [248 248 248]
  [248 248 248]]]",241,484,424,523,0
"[[[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]]",12,6,633,387,2
"[[[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]]",268,376,354,560,1
"[[[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]]",177,550,429,639,0
